VCD info: dumpfile wave.vcd opened for output.
WARNING: testbench_top.v:87: $readmemh(input_mem.csv): Too many words in the file for the requested range [0:255].
T=  30.00 ns: --- Sending comp_enb pulse ---
T=  40.00 ns: Waiting for 'done' signal from accelerator...
PE_DBG[0][0] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][1] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][2] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][3] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[31][31] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG_ACCUM[0][0] @2635.00 ns: En=1 DoneLatch=0| MACsDone(cur)=0, MACsDone(next_calc)=1/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][2] @2675.00 ns: En=1 DoneLatch=0| MACsDone(cur)=2, MACsDone(next_calc)=3/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][1] @2675.00 ns: En=1 DoneLatch=0| MACsDone(cur)=3, MACsDone(next_calc)=4/32 | a_R=bf80(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][0] @2675.00 ns: En=1 DoneLatch=0| MACsDone(cur)=4, MACsDone(next_calc)=5/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=40c0(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][0] @2685.00 ns: En=1 DoneLatch=0| MACsDone(cur)=5, MACsDone(next_calc)=6/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=0000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][1] @2685.00 ns: En=1 DoneLatch=0| MACsDone(cur)=4, MACsDone(next_calc)=5/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][2] @2685.00 ns: En=1 DoneLatch=0| MACsDone(cur)=3, MACsDone(next_calc)=4/32 | a_R=bf80(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=8000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][3] @2685.00 ns: En=1 DoneLatch=0| MACsDone(cur)=2, MACsDone(next_calc)=3/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][3] @2695.00 ns: En=1 DoneLatch=0| MACsDone(cur)=3, MACsDone(next_calc)=4/32 | a_R=bf80(v1) b_R=c080(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=4080 add_out(new_acc)=0000
PE_DBG_ACCUM[0][2] @2695.00 ns: En=1 DoneLatch=0| MACsDone(cur)=4, MACsDone(next_calc)=5/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][1] @2695.00 ns: En=1 DoneLatch=0| MACsDone(cur)=5, MACsDone(next_calc)=6/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=0000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][0] @2695.00 ns: En=1 DoneLatch=0| MACsDone(cur)=6, MACsDone(next_calc)=7/32 | a_R=0000(v1) b_R=c080(v1) | mul_R(old)=0000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=8000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][0] @2705.00 ns: En=1 DoneLatch=0| MACsDone(cur)=7, MACsDone(next_calc)=8/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=0000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][1] @2705.00 ns: En=1 DoneLatch=0| MACsDone(cur)=6, MACsDone(next_calc)=7/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][2] @2705.00 ns: En=1 DoneLatch=0| MACsDone(cur)=5, MACsDone(next_calc)=6/32 | a_R=0000(v1) b_R=c100(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][3] @2705.00 ns: En=1 DoneLatch=0| MACsDone(cur)=4, MACsDone(next_calc)=5/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=4080(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2715.00 ns: En=1 DoneLatch=0| MACsDone(cur)=5, MACsDone(next_calc)=6/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2715.00 ns: En=1 DoneLatch=0| MACsDone(cur)=6, MACsDone(next_calc)=7/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][1] @2715.00 ns: En=1 DoneLatch=0| MACsDone(cur)=7, MACsDone(next_calc)=8/32 | a_R=0000(v1) b_R=c110(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=8000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][0] @2715.00 ns: En=1 DoneLatch=0| MACsDone(cur)=8, MACsDone(next_calc)=9/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=0000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][0] @2725.00 ns: En=1 DoneLatch=0| MACsDone(cur)=9, MACsDone(next_calc)=10/32 | a_R=c0c0(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=8000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][1] @2725.00 ns: En=1 DoneLatch=0| MACsDone(cur)=8, MACsDone(next_calc)=9/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][2] @2725.00 ns: En=1 DoneLatch=0| MACsDone(cur)=7, MACsDone(next_calc)=8/32 | a_R=0000(v1) b_R=c100(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][3] @2725.00 ns: En=1 DoneLatch=0| MACsDone(cur)=6, MACsDone(next_calc)=7/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2735.00 ns: En=1 DoneLatch=0| MACsDone(cur)=7, MACsDone(next_calc)=8/32 | a_R=0000(v1) b_R=c080(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2735.00 ns: En=1 DoneLatch=0| MACsDone(cur)=8, MACsDone(next_calc)=9/32 | a_R=0000(v1) b_R=c000(v1) | mul_R(old)=8000(v1) acc_R(old)=0000 | mul_out(new_mulR)=8000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][1] @2735.00 ns: En=1 DoneLatch=0| MACsDone(cur)=9, MACsDone(next_calc)=10/32 | a_R=c0c0(v1) b_R=c0a0(v1) | mul_R(old)=0000(v1) acc_R(old)=8000 | mul_out(new_mulR)=41f0 add_out(new_acc)=0000
PE_DBG_ACCUM[0][0] @2735.00 ns: En=1 DoneLatch=0| MACsDone(cur)=10, MACsDone(next_calc)=11/32 | a_R=0000(v1) b_R=c000(v1) | mul_R(old)=8000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=8000 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][0] @2745.00 ns: En=1 DoneLatch=0| MACsDone(cur)=11, MACsDone(next_calc)=12/32 | a_R=c110(v1) b_R=c100(v1) | mul_R(old)=8000(v1) acc_R(old)=40c0 | mul_out(new_mulR)=4290 add_out(new_acc)=40c0
PE_DBG_ACCUM[0][1] @2745.00 ns: En=1 DoneLatch=0| MACsDone(cur)=10, MACsDone(next_calc)=11/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=41f0(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][2] @2745.00 ns: En=1 DoneLatch=0| MACsDone(cur)=9, MACsDone(next_calc)=10/32 | a_R=c0c0(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][3] @2745.00 ns: En=1 DoneLatch=0| MACsDone(cur)=8, MACsDone(next_calc)=9/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2755.00 ns: En=1 DoneLatch=0| MACsDone(cur)=9, MACsDone(next_calc)=10/32 | a_R=c0c0(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2755.00 ns: En=1 DoneLatch=0| MACsDone(cur)=10, MACsDone(next_calc)=11/32 | a_R=0000(v1) b_R=c040(v1) | mul_R(old)=8000(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=8000
PE_DBG_ACCUM[0][1] @2755.00 ns: En=1 DoneLatch=0| MACsDone(cur)=11, MACsDone(next_calc)=12/32 | a_R=c110(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=41f0 | mul_out(new_mulR)=8000 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][0] @2755.00 ns: En=1 DoneLatch=0| MACsDone(cur)=12, MACsDone(next_calc)=13/32 | a_R=0000(v1) b_R=40e0(v1) | mul_R(old)=4290(v1) acc_R(old)=40c0 | mul_out(new_mulR)=0000 add_out(new_acc)=429c
PE_DBG_ACCUM[0][0] @2765.00 ns: En=1 DoneLatch=0| MACsDone(cur)=13, MACsDone(next_calc)=14/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=429c | mul_out(new_mulR)=0000 add_out(new_acc)=429c
PE_DBG_ACCUM[0][1] @2765.00 ns: En=1 DoneLatch=0| MACsDone(cur)=12, MACsDone(next_calc)=13/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=41f0 | mul_out(new_mulR)=0000 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][2] @2765.00 ns: En=1 DoneLatch=0| MACsDone(cur)=11, MACsDone(next_calc)=12/32 | a_R=c110(v1) b_R=c100(v1) | mul_R(old)=8000(v1) acc_R(old)=8000 | mul_out(new_mulR)=4290 add_out(new_acc)=8000
PE_DBG_ACCUM[0][3] @2765.00 ns: En=1 DoneLatch=0| MACsDone(cur)=10, MACsDone(next_calc)=11/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2775.00 ns: En=1 DoneLatch=0| MACsDone(cur)=11, MACsDone(next_calc)=12/32 | a_R=c110(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2775.00 ns: En=1 DoneLatch=0| MACsDone(cur)=12, MACsDone(next_calc)=13/32 | a_R=0000(v1) b_R=c000(v1) | mul_R(old)=4290(v1) acc_R(old)=8000 | mul_out(new_mulR)=8000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][1] @2775.00 ns: En=1 DoneLatch=0| MACsDone(cur)=13, MACsDone(next_calc)=14/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=41f0 | mul_out(new_mulR)=0000 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][0] @2775.00 ns: En=1 DoneLatch=0| MACsDone(cur)=14, MACsDone(next_calc)=15/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=429c | mul_out(new_mulR)=0000 add_out(new_acc)=429c
PE_DBG_ACCUM[0][0] @2785.00 ns: En=1 DoneLatch=0| MACsDone(cur)=15, MACsDone(next_calc)=16/32 | a_R=bf80(v1) b_R=c0c0(v1) | mul_R(old)=0000(v1) acc_R(old)=429c | mul_out(new_mulR)=40c0 add_out(new_acc)=429c
PE_DBG_ACCUM[0][1] @2785.00 ns: En=1 DoneLatch=0| MACsDone(cur)=14, MACsDone(next_calc)=15/32 | a_R=0000(v1) b_R=c110(v1) | mul_R(old)=0000(v1) acc_R(old)=41f0 | mul_out(new_mulR)=8000 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][2] @2785.00 ns: En=1 DoneLatch=0| MACsDone(cur)=13, MACsDone(next_calc)=14/32 | a_R=0000(v1) b_R=c110(v1) | mul_R(old)=8000(v1) acc_R(old)=4290 | mul_out(new_mulR)=8000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][3] @2785.00 ns: En=1 DoneLatch=0| MACsDone(cur)=12, MACsDone(next_calc)=13/32 | a_R=0000(v1) b_R=c040(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2795.00 ns: En=1 DoneLatch=0| MACsDone(cur)=13, MACsDone(next_calc)=14/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2795.00 ns: En=1 DoneLatch=0| MACsDone(cur)=14, MACsDone(next_calc)=15/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4290 | mul_out(new_mulR)=0000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][1] @2795.00 ns: En=1 DoneLatch=0| MACsDone(cur)=15, MACsDone(next_calc)=16/32 | a_R=bf80(v1) b_R=bf80(v1) | mul_R(old)=8000(v1) acc_R(old)=41f0 | mul_out(new_mulR)=3f80 add_out(new_acc)=41f0
PE_DBG_ACCUM[0][0] @2795.00 ns: En=1 DoneLatch=0| MACsDone(cur)=16, MACsDone(next_calc)=17/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=40c0(v1) acc_R(old)=429c | mul_out(new_mulR)=0000 add_out(new_acc)=42a8
PE_DBG_ACCUM[0][0] @2805.00 ns: En=1 DoneLatch=0| MACsDone(cur)=17, MACsDone(next_calc)=18/32 | a_R=c080(v1) b_R=c040(v1) | mul_R(old)=0000(v1) acc_R(old)=42a8 | mul_out(new_mulR)=4140 add_out(new_acc)=42a8
PE_DBG_ACCUM[0][1] @2805.00 ns: En=1 DoneLatch=0| MACsDone(cur)=16, MACsDone(next_calc)=17/32 | a_R=0000(v1) b_R=bf80(v1) | mul_R(old)=3f80(v1) acc_R(old)=41f0 | mul_out(new_mulR)=8000 add_out(new_acc)=41f8
PE_DBG_ACCUM[0][2] @2805.00 ns: En=1 DoneLatch=0| MACsDone(cur)=15, MACsDone(next_calc)=16/32 | a_R=bf80(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4290 | mul_out(new_mulR)=8000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][3] @2805.00 ns: En=1 DoneLatch=0| MACsDone(cur)=14, MACsDone(next_calc)=15/32 | a_R=0000(v1) b_R=c120(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2815.00 ns: En=1 DoneLatch=0| MACsDone(cur)=15, MACsDone(next_calc)=16/32 | a_R=bf80(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2815.00 ns: En=1 DoneLatch=0| MACsDone(cur)=16, MACsDone(next_calc)=17/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4290 | mul_out(new_mulR)=0000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][1] @2815.00 ns: En=1 DoneLatch=0| MACsDone(cur)=17, MACsDone(next_calc)=18/32 | a_R=c080(v1) b_R=c000(v1) | mul_R(old)=8000(v1) acc_R(old)=41f8 | mul_out(new_mulR)=4100 add_out(new_acc)=41f8
PE_DBG_ACCUM[0][0] @2815.00 ns: En=1 DoneLatch=0| MACsDone(cur)=18, MACsDone(next_calc)=19/32 | a_R=c0e0(v1) b_R=0000(v1) | mul_R(old)=4140(v1) acc_R(old)=42a8 | mul_out(new_mulR)=8000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2825.00 ns: En=1 DoneLatch=0| MACsDone(cur)=19, MACsDone(next_calc)=20/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2825.00 ns: En=1 DoneLatch=0| MACsDone(cur)=18, MACsDone(next_calc)=19/32 | a_R=c0e0(v1) b_R=c040(v1) | mul_R(old)=4100(v1) acc_R(old)=41f8 | mul_out(new_mulR)=41a8 add_out(new_acc)=421c
PE_DBG_ACCUM[0][2] @2825.00 ns: En=1 DoneLatch=0| MACsDone(cur)=17, MACsDone(next_calc)=18/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4290 | mul_out(new_mulR)=8000 add_out(new_acc)=4290
PE_DBG_ACCUM[0][3] @2825.00 ns: En=1 DoneLatch=0| MACsDone(cur)=16, MACsDone(next_calc)=17/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2835.00 ns: En=1 DoneLatch=0| MACsDone(cur)=17, MACsDone(next_calc)=18/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2835.00 ns: En=1 DoneLatch=0| MACsDone(cur)=18, MACsDone(next_calc)=19/32 | a_R=c0e0(v1) b_R=40e0(v1) | mul_R(old)=8000(v1) acc_R(old)=4290 | mul_out(new_mulR)=c244 add_out(new_acc)=4290
PE_DBG_ACCUM[0][1] @2835.00 ns: En=1 DoneLatch=0| MACsDone(cur)=19, MACsDone(next_calc)=20/32 | a_R=0000(v1) b_R=c100(v1) | mul_R(old)=41a8(v1) acc_R(old)=421c | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2835.00 ns: En=1 DoneLatch=0| MACsDone(cur)=20, MACsDone(next_calc)=21/32 | a_R=c040(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=8000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2845.00 ns: En=1 DoneLatch=0| MACsDone(cur)=21, MACsDone(next_calc)=22/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2845.00 ns: En=1 DoneLatch=0| MACsDone(cur)=20, MACsDone(next_calc)=21/32 | a_R=c040(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2845.00 ns: En=1 DoneLatch=0| MACsDone(cur)=19, MACsDone(next_calc)=20/32 | a_R=0000(v1) b_R=c040(v1) | mul_R(old)=c244(v1) acc_R(old)=4290 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][3] @2845.00 ns: En=1 DoneLatch=0| MACsDone(cur)=18, MACsDone(next_calc)=19/32 | a_R=c0e0(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2855.00 ns: En=1 DoneLatch=0| MACsDone(cur)=19, MACsDone(next_calc)=20/32 | a_R=0000(v1) b_R=c120(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2855.00 ns: En=1 DoneLatch=0| MACsDone(cur)=20, MACsDone(next_calc)=21/32 | a_R=c040(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][1] @2855.00 ns: En=1 DoneLatch=0| MACsDone(cur)=21, MACsDone(next_calc)=22/32 | a_R=0000(v1) b_R=c040(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2855.00 ns: En=1 DoneLatch=0| MACsDone(cur)=22, MACsDone(next_calc)=23/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=8000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2865.00 ns: En=1 DoneLatch=0| MACsDone(cur)=23, MACsDone(next_calc)=24/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2865.00 ns: En=1 DoneLatch=0| MACsDone(cur)=22, MACsDone(next_calc)=23/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2865.00 ns: En=1 DoneLatch=0| MACsDone(cur)=21, MACsDone(next_calc)=22/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=0000 add_out(new_acc)=41b8
